amount,term_ 36 months,rate,payment,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,length_sub 1 year,length_1 year,length_10 plus years,length_2 years,length_3 years,length_4 years,length_5 years,length_6 years,length_7 years,length_8 years,length_9 years,length_n/a,home_MORTGAGE,home_OWN,home_RENT,income,verified_Not Verified,verified_Source Verified,verified_Verified,status_Bad,reason_credit_card,reason_debt_consolidation,reason_home_improvement,reason_other,debtIncRat,delinq2yr,inq6mth,openAcc,pubRec,revolRatio,totalAcc,totalBal,totalRevLim,accOpen24,avgBal,bcOpen,bcRatio,totalLim,totalRevBal,totalBcLim,totalIlLim
16800,0,0.13,385.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,78000,1,0,0,0,0,1,0,0,19.51,0,1,13,1,0.25,34,261619,28500,5,23784,19122,26.5,311676,52807,26000,73226
1800,1,0.11,58.93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,39000,1,0,0,0,0,1,0,0,16.18,0,0,8,0,0.32,13,24589,16300,2,3074,10856,32.1,36524,24589,16000,20224
10000,1,0.09,320.29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,53000,1,0,0,0,0,1,0,0,10.78,1,1,9,0,0.33,20,142495,23900,5,15833,9403,36.9,179913,13938,14900,12813
12000,1,0.13,404.27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,37000,0,1,0,0,0,1,0,0,18.1,1,0,13,0,0.63,22,16600,15200,5,1660,1523,85.8,30600,16600,10700,15400
16000,1,0.15,554.57,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,92000,0,1,0,0,0,1,0,0,19.53,0,0,25,0,1.01,42,183528,23300,4,7647,234,98.5,221275,62280,15200,72785
6500,1,0.06,198.9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,85000,0,1,0,0,1,0,0,0,16.41,0,1,10,1,0.4,19,79064,24400,6,7906,1640,78.7,101339,79064,7700,76939
20200,0,0.16,496.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,55000,1,0,0,0,0,1,0,0,9.86,0,0,10,0,0.33,26,20078,37700,3,2008,24354,34,47700,20078,36900,10000
3500,1,0.08,109.97,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100000,0,1,0,0,0,1,0,0,27.94,0,1,19,0,0.8,28,132877,22100,5,6994,1345,91.2,149932,132877,15200,127832
24000,1,0.13,806.93,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,160000,0,0,1,0,0,1,0,0,9.11,0,2,12,0,0.37,28,63952,52400,7,5329,26594,40.1,104203,63952,44400,51803
14000,1,0.13,468.96,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,125000,0,1,0,0,0,1,0,0,12.39,0,0,6,2,0.47,18,43207,15000,4,7201,2555,60.7,60634,43207,6500,45634
